ADC1,ADC2
627,475
633,475
627,486
633,475
627,475
1169,309
1190,279
1190,278
1190,278
1184,283
2350,149
2356,149
2323,151
2356,145
2356,149
3412,107
3381,107
3406,107
3387,111
3381,107
